"segmento","codigo_bovespa","nome_acao","nome_tipo_acao","percentual_participacao_acao","percentual_participacao_acumulada","quantidade_teorica","ano","mes","dia","data_pregao"
"Mats Básicos / Mineração","BRAP4","BRADESPAR","PN      N1","0.193","11.677","250982988.00","2025","07","18","2025-07-18"
"Mats Básicos / Mineração","CMIN3","CSNMINERACAO","ON      N2","0.402","11.677","1646519336.00","2025","07","18","2025-07-18"
"Mats Básicos / Mineração","VALE3","VALE","ON      NM","11.082","11.677","4270903023.00","2025","07","18","2025-07-18"
"Mats Básicos / Químicos","BRKM5","BRASKEM","PNA     N1","0.114","0.114","265388400.00","2025","07","18","2025-07-18"
"Mats Básicos / Sid Metalurgia","GGBR4","GERDAU","PN      N1","1.022","1.666","1308152318.00","2025","07","18","2025-07-18"
"Mats Básicos / Sid Metalurgia","GOAU4","GERDAU MET","PN      N1","0.270","1.666","623866944.00","2025","07","18","2025-07-18"
"Mats Básicos / Sid Metalurgia","CSNA3","SID NACIONAL","ON","0.275","1.666","727459637.00","2025","07","18","2025-07-18"
"Mats Básicos / Sid Metalurgia","USIM5","USIMINAS","PNA     N1","0.099","1.666","515193199.00","2025","07","18","2025-07-18"
"Petróleo, Gás e Biocombustíveis","BRAV3","BRAVA","ON  ATZ NM","0.404","15.828","451311960.00","2025","07","18","2025-07-18"
"Petróleo, Gás e Biocombustíveis","CSAN3","COSAN","ON      NM","0.343","15.828","1160227510.00","2025","07","18","2025-07-18"
"Petróleo, Gás e Biocombustíveis","PETR3","PETROBRAS","ON      N2","4.602","15.828","2820420899.00","2025","07","18","2025-07-18"
"Petróleo, Gás e Biocombustíveis","PETR4","PETROBRAS","PN      N2","6.633","15.828","4410955873.00","2025","07","18","2025-07-18"
"Petróleo, Gás e Biocombustíveis","RECV3","PETRORECSA","ON      NM","0.183","15.828","274981010.00","2025","07","18","2025-07-18"
"Petróleo, Gás e Biocombustíveis","PRIO3","PETRORIO","ON      NM","1.614","15.828","779999989.00","2025","07","18","2025-07-18"
"Petróleo, Gás e Biocombustíveis","RAIZ4","RAIZEN","PN      N2","0.088","15.828","1210756333.00","2025","07","18","2025-07-18"
"Petróleo, Gás e Biocombustíveis","UGPA3","ULTRAPAR","ON      NM","0.837","15.828","1089082981.00","2025","07","18","2025-07-18"
"Petróleo, Gás e Biocombustíveis","VBBR3","VIBRA","ON      NM","1.124","15.828","1113939036.00","2025","07","18","2025-07-18"
